STD_DD	GU_CD	DONG_CD	MCT_CAT_CD	SEX_CD	AGE_CD	USE_CNT	USE_AMT
20190201	110	517	10	F	25	11	595
20190201	110	517	10	F	50	5	243
20190201	110	517	10	F	55	5	27
20190201	110	517	10	M	20	11	243
20190201	110	517	10	M	25	11	433
20190201	110	517	10	M	30	11	460
20190201	110	517	20	M	50	5	454
20190201	110	517	21	F	50	5	146
20190201	110	517	21	M	20	5	43
20190201	110	517	21	M	25	16	103
20190201	110	517	21	M	30	11	184
20190201	110	517	21	M	35	27	622
20190201	110	517	21	M	40	11	238
20190201	110	517	21	M	50	11	536
20190201	110	517	21	M	55	11	1396
20190201	110	517	31	M	45	5	1320
20190201	110	517	32	F	50	5	70
20190201	110	517	32	M	40	5	70
20190201	110	517	32	M	65	5	135
20190201	110	517	33	F	30	16	725
20190201	110	517	33	F	35	11	487
20190201	110	517	33	F	40	5	271
20190201	110	517	33	F	45	5	271
20190201	110	517	33	F	50	16	812
20190201	110	517	33	F	55	5	271
20190201	110	517	33	F	60	27	239
20190201	110	517	33	F	65	11	493
20190201	110	517	33	M	25	27	963
20190201	110	517	33	M	30	60	1871
20190201	110	517	33	M	35	22	1114
20190201	110	517	33	M	40	27	1406
20190201	110	517	33	M	45	22	1544
20190201	110	517	33	M	50	32	1547
20190201	110	517	33	M	55	11	514
20190201	110	517	33	M	60	11	76
20190201	110	517	33	M	65	22	865
20190201	110	517	34	M	30	5	27
20190201	110	517	40	F	20	130	828
20190201	110	517	40	F	25	233	1626
20190201	110	517	40	F	30	92	452
20190201	110	517	40	F	35	87	870
20190201	110	517	40	F	40	87	590
20190201	110	517	40	F	45	70	441
20190201	110	517	40	F	50	108	1270
20190201	110	517	40	F	55	65	741
20190201	110	517	40	F	60	27	432
20190201	110	517	40	F	65	49	1192
20190201	110	517	40	M	20	60	214
20190201	110	517	40	M	25	400	2779
20190201	110	517	40	M	30	276	2203
20190201	110	517	40	M	35	238	1767
20190201	110	517	40	M	40	135	1220
20190201	110	517	40	M	45	103	1112
20190201	110	517	40	M	50	70	1162
20190201	110	517	40	M	55	76	804
20190201	110	517	40	M	60	38	433
20190201	110	517	40	M	65	54	788
20190201	110	517	52	F	50	5	92
20190201	110	517	52	M	30	5	119
20190201	110	517	52	M	50	5	184
20190201	110	517	52	M	60	5	409
20190201	110	517	62	F	25	5	62
20190201	110	517	62	F	35	11	54
20190201	110	517	62	F	40	5	595
20190201	110	517	62	F	50	5	35
20190201	110	517	62	M	30	5	5
20190201	110	517	62	M	60	5	325
20190201	110	517	62	M	65	16	1353
20190201	110	517	70	F	20	11	170
20190201	110	517	70	F	35	32	790
20190201	110	517	70	F	40	54	4997
20190201	110	517	70	F	45	54	3700
20190201	110	517	70	F	50	87	9635
20190201	110	517	70	F	55	49	1228
20190201	110	517	70	F	60	38	17125
20190201	110	517	70	F	65	60	10243
20190201	110	517	70	M	20	5	22
20190201	110	517	70	M	25	43	337
20190201	110	517	70	M	30	27	8418
20190201	110	517	70	M	35	32	882
20190201	110	517	70	M	40	65	1508
20190201	110	517	70	M	45	92	18769
20190201	110	517	70	M	50	70	3032
20190201	110	517	70	M	55	76	2986
20190201	110	517	70	M	60	103	47928
20190201	110	517	70	M	65	124	4500
20190201	110	517	71	F	25	5	1515
20190201	110	517	71	F	30	5	92
20190201	110	517	71	F	35	11	541
20190201	110	517	71	F	40	5	162
20190201	110	517	71	F	45	5	38
20190201	110	517	71	F	50	5	3787
20190201	110	517	71	F	65	11	541
20190201	110	517	71	M	25	5	65
20190201	110	517	71	M	30	11	352
20190201	110	517	71	M	35	5	1623
20190201	110	517	71	M	40	5	233
20190201	110	517	80	F	20	135	1943
20190201	110	517	80	F	25	281	7439
